user;cell hashcode;novelty;outlierness;relevance;surprise;query label;session label
dibstudent04;-961057577;false;0.42164706729449;1.0;-Infinity;0;B;
dibstudent04;928533734;false;0.3952621537606982;1.0;-Infinity;0;B;
dibstudent04;996661577;false;0.02430434167783946;1.0;-Infinity;0;B;
dibstudent04;1139969114;false;0.1854081760371501;1.0;-Infinity;0;B;
dibstudent04;-1025138014;false;0.4096151438429255;1.0;-Infinity;0;B;
dibstudent04;1069623828;false;0.3500386024203521;1.0;-Infinity;0;B;
dibstudent03;-1050909961;true;0.41720118635513503;1.0;-1.9677898062797112;0;C;
dibstudent03;-1512832480;true;0.29500057843984506;1.0;-1.9677898062797112;0;C;
dibstudent03;596126664;true;0.4283303742348382;1.0;-1.9677898062797112;0;C;
dibstudent03;-1050917424;true;0.2850379421808138;1.0;-1.9677898062797112;0;C;
dibstudent03;-1050928846;true;0.02733027546268174;1.0;-1.9677898062797112;0;C;
dibstudent03;1711713531;true;0.21582877967133118;1.0;-1.9677898062797112;0;C;
